,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
0,-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,<1H OCEAN
1,-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,<1H OCEAN
2,-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,<1H OCEAN
3,-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,<1H OCEAN
4,-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,NEAR OCEAN
5,-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,<1H OCEAN
6,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,NEAR BAY
7,-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,NEAR OCEAN
8,-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,<1H OCEAN
9,-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,NEAR OCEAN
10,-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,<1H OCEAN
11,-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,INLAND
12,-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,INLAND
13,-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,<1H OCEAN
14,-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,<1H OCEAN
15,-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,INLAND
16,-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,INLAND
17,-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,INLAND
18,-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,<1H OCEAN
19,-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN
20,-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,<1H OCEAN
21,-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,<1H OCEAN
22,-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,<1H OCEAN
23,-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,INLAND
24,-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,INLAND
25,-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,INLAND
26,-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,<1H OCEAN
27,-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,INLAND
28,-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,INLAND
29,-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,INLAND
30,-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,INLAND
31,-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,INLAND
32,-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,<1H OCEAN
33,-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,INLAND
34,-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,INLAND
35,-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,<1H OCEAN
36,-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,NEAR OCEAN
37,-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,<1H OCEAN
38,-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,INLAND
39,-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,<1H OCEAN
40,-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,INLAND
41,-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,<1H OCEAN
42,-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,<1H OCEAN
43,-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,NEAR BAY
44,-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,<1H OCEAN
45,-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,INLAND
46,-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,INLAND
47,-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,NEAR BAY
48,-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,INLAND
49,-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,<1H OCEAN
50,-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,INLAND
51,-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,INLAND
52,-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,NEAR OCEAN
53,-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,<1H OCEAN
54,-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,NEAR OCEAN
55,-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,NEAR OCEAN
56,-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,NEAR BAY
57,-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,NEAR BAY
58,-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,NEAR BAY
59,-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,<1H OCEAN
60,-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,NEAR OCEAN
61,-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,<1H OCEAN
62,-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,NEAR OCEAN
63,-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,NEAR OCEAN
64,-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,INLAND
65,-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,<1H OCEAN
66,-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,INLAND
67,-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,INLAND
68,-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,<1H OCEAN
69,-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,NEAR BAY
70,-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,NEAR OCEAN
71,-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,<1H OCEAN
72,-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,<1H OCEAN
73,-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,<1H OCEAN
74,-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,<1H OCEAN
75,-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,INLAND
76,-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,<1H OCEAN
77,-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,<1H OCEAN
78,-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,NEAR OCEAN
79,-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,INLAND
80,-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,INLAND
81,-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,<1H OCEAN
82,-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,<1H OCEAN
83,-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,INLAND
84,-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,<1H OCEAN
85,-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,INLAND
86,-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,<1H OCEAN
87,-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,<1H OCEAN
88,-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,NEAR OCEAN
89,-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,<1H OCEAN
90,-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,INLAND
91,-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,NEAR OCEAN
92,-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,NEAR BAY
93,-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,<1H OCEAN
94,-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,INLAND
95,-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,NEAR OCEAN
96,-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,<1H OCEAN
97,-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,NEAR OCEAN
98,-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,<1H OCEAN
99,-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,<1H OCEAN
100,-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,NEAR OCEAN
101,-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,<1H OCEAN
102,-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,<1H OCEAN
103,-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,INLAND
104,-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,<1H OCEAN
105,-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,<1H OCEAN
106,-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,INLAND
107,-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,<1H OCEAN
108,-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,<1H OCEAN
109,-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,NEAR BAY
110,-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,INLAND
111,-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,<1H OCEAN
112,-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,INLAND
113,-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,<1H OCEAN
114,-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,INLAND
115,-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,INLAND
116,-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,INLAND
117,-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,NEAR OCEAN
118,-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,<1H OCEAN
119,-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,INLAND
120,-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,<1H OCEAN
121,-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,INLAND
122,-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,NEAR OCEAN
123,-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,<1H OCEAN
124,-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,INLAND
125,-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,<1H OCEAN
126,-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,<1H OCEAN
127,-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,INLAND
128,-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,NEAR BAY
129,-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,NEAR OCEAN
130,-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,<1H OCEAN
131,-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,<1H OCEAN
132,-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,<1H OCEAN
133,-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,<1H OCEAN
134,-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,INLAND
135,-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,INLAND
136,-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,INLAND
137,-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,INLAND
138,-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,<1H OCEAN
139,-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,INLAND
140,-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,<1H OCEAN
141,-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,INLAND
142,-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,<1H OCEAN
143,-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,<1H OCEAN
144,-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,INLAND
145,-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,INLAND
146,-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,NEAR OCEAN
147,-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,<1H OCEAN
148,-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,<1H OCEAN
149,-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,<1H OCEAN
150,-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,<1H OCEAN
151,-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,<1H OCEAN
152,-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,NEAR OCEAN
153,-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,INLAND
154,-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,NEAR BAY
155,-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,INLAND
156,-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,INLAND
157,-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,INLAND
158,-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,INLAND
159,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,NEAR BAY
160,-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,NEAR BAY
161,-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,<1H OCEAN
162,-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,INLAND
163,-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,<1H OCEAN
164,-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,<1H OCEAN
165,-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,NEAR BAY
166,-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,INLAND
167,-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,INLAND
168,-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,<1H OCEAN
169,-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,INLAND
170,-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,INLAND
171,-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,<1H OCEAN
172,-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,<1H OCEAN
173,-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,NEAR OCEAN
174,-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,INLAND
175,-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,INLAND
176,-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,INLAND
177,-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,NEAR OCEAN
